filename,Height,Width,Couleur 1,Couleur 2
Data/Yamato/téléchargement (2).jpeg,169,299,#988689,#f2e6e4
Data/Yamato/téléchargement (10).jpeg,269,187,#e7e7e7,#3a3a3a
Data/Yamato/one-piece-yamato-758x392.jpg,392,758,#cccfcf,#6f6960
Data/Yamato/téléchargement (3).jpeg,163,310,#efc2c3,#209cb5
Data/Yamato/téléchargement.jpeg,250,201,#a1484c,#d4bade
Data/Yamato/téléchargement (5).jpeg,162,311,#e0d6de,#61665a
Data/Yamato/téléchargement (8).jpeg,238,212,#763644,#d1bbd6
Data/Yamato/téléchargement (1).jpeg,205,246,#f0e1bb,#434844
Data/Yamato/téléchargement (6).jpeg,225,224,#f9ede8,#b37d6a
Data/Yamato/téléchargement (4).jpeg,162,310,#cfcdcb,#574f56
Data/Yamato/téléchargement (9).jpeg,237,213,#6b6b6b,#f9f9f9
Data/Yamato/images.jpeg,301,167,#781a19,#e5dbd9
Data/Yamato/téléchargement (7).jpeg,162,311,#242424,#e3e3e3
Data/Sengoku/images (1).jpeg,164,307,#74422b,#f1e3be
Data/Sengoku/téléchargement (2).jpeg,180,280,#b6b8b1,#282527
Data/Sengoku/sengoku_the_buddha_929.jpg,479,479,#d3cccf,#241f2a
Data/Sengoku/téléchargement (3).jpeg,274,170,#5e5c6a,#acb9d0
Data/Sengoku/images (2).jpeg,141,358,#a27b1e,#e4d478
Data/Sengoku/Sengoku_redevient_humain.webp,200,170,#b9c7d4,#373b68
Data/Sengoku/téléchargement.jpeg,178,283,#3b3b3b,#dcdcdc
Data/Sengoku/Sengoku_217.webp,450,360,#ebeaeb,#474747
Data/Sengoku/fb33bfc3befcfc843009ed09560f4795.png,611,394,#bbb9bd,#3d3344
Data/Sengoku/téléchargement (1).jpeg,168,300,#aba984,#241a16
Data/Sengoku/eaf4fa347f7f8bf1688a3f4503ebec2b.jpg,994,900,#fbfbfb,#020202
Data/Sengoku/b5b306b1a75b987d93f81c9113097e38f0ead31a_00.png,360,480,#f3f3f3,#2e2e2e
Data/Sengoku/images.jpeg,179,282,#6a6750,#d9d8a1
Data/Sengoku/téléchargement.png,274,184,#dededd,#2a2a23
Data/Shanks/6.png_inverted.png,225,225,#365877,#90cdce
Data/Shanks/7.png,317,316,#c4bfbe,#782925
Data/Shanks/5.png_inverted.png,200,200,#c2ebe6,#2c598c
Data/Shanks/67.png,677,541,#0d0d0d,#f7f7f7
