filename,Couleur 1,Couleur 2,Personnage,Sexe,Faction,Fruits démon
Data/Yamato/téléchargement (2).jpeg,linen,gray,Yamato,F,Pirate,Zoan
Data/Yamato/téléchargement (10).jpeg,darkslategray,lavender,Yamato,F,Pirate,Zoan
Data/Yamato/one-piece-yamato-758x392.jpg,lightgray,dimgray,Yamato,F,Pirate,Zoan
Data/Yamato/téléchargement (3).jpeg,pink,lightseagreen,Yamato,F,Pirate,Zoan
Data/Yamato/téléchargement.jpeg,thistle,sienna,Yamato,F,Pirate,Zoan
Data/Yamato/téléchargement (5).jpeg,gainsboro,dimgray,Yamato,F,Pirate,Zoan
Data/Yamato/téléchargement (8).jpeg,brown,thistle,Yamato,F,Pirate,Zoan
Data/Yamato/téléchargement (1).jpeg,wheat,darkslategray,Yamato,F,Pirate,Zoan
Data/Yamato/téléchargement (6).jpeg,linen,rosybrown,Yamato,F,Pirate,Zoan
Data/Yamato/téléchargement (4).jpeg,lightgray,dimgray,Yamato,F,Pirate,Zoan
Data/Yamato/téléchargement (9).jpeg,ghostwhite,dimgray,Yamato,F,Pirate,Zoan
Data/Yamato/images.jpeg,maroon,gainsboro,Yamato,F,Pirate,Zoan
Data/Yamato/téléchargement (7).jpeg,darkslategray,gainsboro,Yamato,F,Pirate,Zoan
Data/Sengoku/images (1).jpeg,wheat,saddlebrown,Sengoku,M,Marine,Zoan
Data/Sengoku/téléchargement (2).jpeg,silver,darkslategray,Sengoku,M,Marine,Zoan
Data/Sengoku/sengoku_the_buddha_929.jpg,lightgray,darkslategray,Sengoku,M,Marine,Zoan
Data/Sengoku/téléchargement (3).jpeg,dimgray,lightsteelblue,Sengoku,M,Marine,Zoan
Data/Sengoku/images (2).jpeg,darkgoldenrod,khaki,Sengoku,M,Marine,Zoan
Data/Sengoku/Sengoku_redevient_humain.webp,darkslategray,lightsteelblue,Sengoku,M,Marine,Zoan
Data/Sengoku/téléchargement.jpeg,darkslategray,gainsboro,Sengoku,M,Marine,Zoan
Data/Sengoku/Sengoku_217.webp,lavender,darkslategray,Sengoku,M,Marine,Zoan
Data/Sengoku/fb33bfc3befcfc843009ed09560f4795.png,darkslategray,silver,Sengoku,M,Marine,Zoan
Data/Sengoku/téléchargement (1).jpeg,black,rosybrown,Sengoku,M,Marine,Zoan
Data/Sengoku/eaf4fa347f7f8bf1688a3f4503ebec2b.jpg,black,snow,Sengoku,M,Marine,Zoan
Data/Sengoku/b5b306b1a75b987d93f81c9113097e38f0ead31a_00.png,whitesmoke,darkslategray,Sengoku,M,Marine,Zoan
Data/Sengoku/images.jpeg,palegoldenrod,dimgray,Sengoku,M,Marine,Zoan
Data/Sengoku/téléchargement.png,darkslategray,gainsboro,Sengoku,M,Marine,Zoan
Data/Shanks/6.png_inverted.png,darkslateblue,skyblue,Shanks,M,Pirate,N
Data/Shanks/7.png,saddlebrown,silver,Shanks,M,Pirate,N
Data/Shanks/5.png_inverted.png,darkslateblue,paleturquoise,Shanks,M,Pirate,N
Data/Shanks/67.png,black,whitesmoke,Shanks,M,Pirate,N
Data/Shanks/1.png_inverted.png,lightgray,darkolivegreen,Shanks,M,Pirate,N
Data/Shanks/68.png_inverted.png,gainsboro,black,Shanks,M,Pirate,N
Data/Shanks/6.png,saddlebrown,tan,Shanks,M,Pirate,N
